open,high,low,close,volume,vwap,timestamp,transactions,otc
113.0,113.09,110.92,112.67,19412238.0,112.0703,2024-06-04 04:00:00,169690,
112.89,113.19,111.48,113.12,14863516.0,112.6031,2024-06-05 04:00:00,127723,
112.75,114.04,112.11,113.97,13154094.0,113.5044,2024-06-06 04:00:00,130991,
113.79,114.895,112.6735,112.75,13289196.0,113.5062,2024-06-07 04:00:00,121475,
113.06,114.2199,112.7,113.08,15245227.0,113.2897,2024-06-10 04:00:00,137028,
112.49,112.6701,111.31,112.17,12462403.0,112.0821,2024-06-11 04:00:00,121370,
113.3,113.3,110.54,110.93,13606788.0,111.3499,2024-06-12 04:00:00,151225,
110.84,110.86,109.72,110.04,14466868.0,110.2345,2024-06-13 04:00:00,126603,
110.02,110.207,108.59,109.11,13313430.0,109.049,2024-06-14 04:00:00,136083,
109.17,109.46,108.18,108.36,21147943.0,108.7425,2024-06-17 04:00:00,176388,
109.03,110.72,108.8,109.38,17762915.0,109.5442,2024-06-18 04:00:00,153006,
109.91,112.62,109.59,111.74,17433192.0,111.6204,2024-06-20 04:00:00,171418,
111.9,112.695,110.76,110.76,52220574.0,111.0743,2024-06-21 04:00:00,151485,
111.64,114.525,111.64,114.05,16266688.0,113.6656,2024-06-24 04:00:00,135518,
114.11,114.55,113.455,114.37,16213682.0,114.1796,2024-06-25 04:00:00,118986,
114.39,114.815,113.14,114.41,15771751.0,114.2199,2024-06-26 04:00:00,130498,
114.99,114.99,114.11,114.9,16812731.0,114.6115,2024-06-27 04:00:00,110097,
115.86,116.54,114.675,115.12,24565910.0,115.237,2024-06-28 04:00:00,158192,
115.71,116.74,114.53,114.96,11972881.0,115.2692,2024-07-01 04:00:00,125632,
115.9,115.94,113.49,114.18,13326703.0,114.3498,2024-07-02 04:00:00,131764,
114.27,115.66,114.27,114.76,7732928.0,114.948,2024-07-03 04:00:00,77800,
114.61,114.63,112.685,113.37,12630986.0,113.3606,2024-07-05 04:00:00,121892,
112.39,113.55,111.42,112.18,13350549.0,112.2383,2024-07-08 04:00:00,140536,
111.11,112.54,110.62,110.94,11729085.0,111.3985,2024-07-09 04:00:00,120494,
110.92,111.96,110.42,111.92,10004094.0,111.4678,2024-07-10 04:00:00,104495,
111.43,113.315,110.93,113.25,13084875.0,112.727,2024-07-11 04:00:00,133526,
113.99,114.15,112.63,113.27,11684946.0,113.2435,2024-07-12 04:00:00,114616,
114.27,116.16,113.575,115.21,13032503.0,115.2028,2024-07-15 04:00:00,156985,
114.35,116.35,113.71,116.04,13614050.0,115.6314,2024-07-16 04:00:00,136240,
116.74,118.175,116.55,117.64,13602766.0,117.5269,2024-07-17 04:00:00,168523,
117.95,119.92,117.435,118.8,13033563.0,118.9847,2024-07-18 04:00:00,146731,
118.59,118.8793,115.87,116.07,16157707.0,116.9429,2024-07-19 04:00:00,171865,
115.18,115.94,114.58,115.27,12065877.0,115.3429,2024-07-22 04:00:00,114513,
114.81,115.17,113.17,113.41,11251733.0,113.779,2024-07-23 04:00:00,134121,
113.765,115.2,113.065,115.01,14925184.0,114.7176,2024-07-24 04:00:00,135485,
115.17,118.03,114.56,117.43,17021698.0,116.8872,2024-07-25 04:00:00,135879,
116.77,118.03,116.47,117.33,11252479.0,117.3864,2024-07-26 04:00:00,108030,
117.32,117.39,115.38,116.1,8861806.0,116.1555,2024-07-29 04:00:00,96522,
116.36,118.595,116.23,118.17,12483857.0,117.8596,2024-07-30 04:00:00,128233,
119.64,119.76,118.56,118.59,15137710.0,119.0406,2024-07-31 04:00:00,128348,
118.35,119.49,116.36,116.95,15051482.0,117.2639,2024-08-01 04:00:00,157102,
115.97,118.87,115.42,116.88,20403773.0,116.8219,2024-08-02 04:00:00,205620,
115.54,116.03,113.25,114.77,18025858.0,114.7516,2024-08-05 04:00:00,190977,
114.45,115.63,113.63,114.16,13647778.0,114.6481,2024-08-06 04:00:00,146640,
115.45,117.119,115.26,115.68,13660657.0,116.0817,2024-08-07 04:00:00,128690,
116.08,118.105,115.73,117.89,13850993.0,117.5214,2024-08-08 04:00:00,116107,
117.885,119.31,117.36,118.85,12151867.0,118.542,2024-08-09 04:00:00,106439,
119.55,120.1699,118.02,119.0,13228911.0,118.8661,2024-08-12 04:00:00,131358,
118.275,118.51,117.5,117.86,11585067.0,117.9426,2024-08-13 04:00:00,117530,
118.1,119.9,117.63,118.95,12194520.0,118.8812,2024-08-14 04:00:00,109008,
118.25,119.63,118.12,118.73,11579432.0,118.859,2024-08-15 04:00:00,111685,
117.99,118.48,117.66,118.17,10056024.0,118.0993,2024-08-16 04:00:00,89864,
